QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
NIDLIJIB_00423	COG3187	442420	2.82e-33	37.273	HslJ	Heat shock protein HslJ	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00424	COG3042	442276	1.76e-19	35.227	Hlx	Putative hemolysin	R	General function prediction only
NIDLIJIB_00425	COG0674	440438	3.59e-128	38.462	PorA	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit	C	Energy production and conversion
NIDLIJIB_00426	COG3203	442436	6.36e-70	31.092	OmpC	Outer membrane porin OmpC/OmpF/PhoE	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00427	COG0589	440354	2.58e-33	35.417	UspA	Nucleotide-binding universal stress protein,  UspA family	T	Signal transduction mechanisms
NIDLIJIB_00428	COG0037	439807	8.67e-89	35.088	TtcA	tRNA-C32 2-thiocytidine or tRNA(Ile)-C34 C2-lysylcytidine synthase TtcA/TilS/MesJ	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00429	COG0513	440279	0.0	46.997	SrmB	Superfamily II DNA and RNA helicase	L	Replication, recombination and repair
NIDLIJIB_00431	COG0598	440363	1.15e-78	26.51	CorA	Mg2+ and Co2+ transporter CorA	P	Inorganic ion transport and metabolism
NIDLIJIB_00432	COG2199	441801	1.94e-64	36.232	GGDEF	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	T	Signal transduction mechanisms
NIDLIJIB_00433	COG2840	442088	3.29e-65	39.884	SmrA	Stalled ribosome-rescuing mRNA endonuclease or DNA-nicking endonuclease, Smr domain	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00434	COG0583	440348	6.37e-65	28.767	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
NIDLIJIB_00435	COG1473	441082	3.86e-75	32.192	AbgB	Metal-dependent amidase/aminoacylase/carboxypeptidase	R	General function prediction only
NIDLIJIB_00436	COG1473	441082	4.56e-79	24.89	AbgB	Metal-dependent amidase/aminoacylase/carboxypeptidase	R	General function prediction only
NIDLIJIB_00437	COG2978	442217	0.0	50.1	AbgT	p-Aminobenzoyl-glutamate transporter AbgT	H	Coenzyme transport and metabolism
NIDLIJIB_00438	COG0350	440119	4.8e-64	44.025	AdaB	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)	L	Replication, recombination and repair
NIDLIJIB_00439	COG0664	440428	2.84e-58	36.967	Crp	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	T	Signal transduction mechanisms
NIDLIJIB_00440	COG0589	440354	7.8e-20	28.082	UspA	Nucleotide-binding universal stress protein,  UspA family	T	Signal transduction mechanisms
NIDLIJIB_00442	COG0668	440432	1.66e-69	30.651	MscS	Small-conductance mechanosensitive channel	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00443	COG4166	443327	0.0	42.202	OppA	ABC-type oligopeptide transport system, periplasmic component	E	Amino acid transport and metabolism
NIDLIJIB_00444	COG0583	440348	1.29e-58	28.912	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
NIDLIJIB_00445	COG1073	440691	2.95e-73	31.169	FrsA	Fermentation-respiration switch esterase FrsA, DUF1100 family	T	Signal transduction mechanisms
NIDLIJIB_00446	COG0702	440466	0.000142	33.333	YbjT	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	R	General function prediction only
NIDLIJIB_00447	COG2866	442113	2.06e-18	24.779	MpaA	Murein tripeptide amidase MpaA	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00448	COG4948	443975	8.64e-76	35.965	RspA	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00449	COG2077	441680	1.86e-107	65.06	Tpx	Peroxiredoxin	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00450	COG3283	442513	0.0	66.019	TyrR	Transcriptional regulator TyrR of aromatic amino acids metabolism	K	Transcription
NIDLIJIB_00451	COG3768	442982	5.96e-139	42.296	YcjF	Uncharacterized membrane protein YcjF, UPF0283 family	S	Function unknown
NIDLIJIB_00452	COG3106	442340	0.0	59.062	YcjX	Ras-like GTP-binding stress-induced protein YcjX,  DUF463 family	T	Signal transduction mechanisms
NIDLIJIB_00453	COG1609	441217	4.92e-107	33.945	PurR	DNA-binding transcriptional regulator, LacI/PurR family	K	Transcription
NIDLIJIB_00454	COG3137	442371	3.13e-06	27.451	YdiY	Putative salt-induced outer membrane protein YdiY	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00455	COG3839	443050	0.0	52.646	MalK	ABC-type sugar transport system, ATPase component MalK	G	Carbohydrate transport and metabolism
NIDLIJIB_00456	COG0637	440402	1.24e-67	35.047	YcjU	Beta-phosphoglucomutase, HAD superfamily	G	Carbohydrate transport and metabolism
NIDLIJIB_00457	COG1554	441163	0.0	32.943	ATH1	Phosphatase/phosphodiesterase/kojibiose phosphorylase YcjT/PafA/Npp1, AlkP superfamily	G	Carbohydrate transport and metabolism
NIDLIJIB_00458	COG0673	440437	5.48e-79	31.304	MviM	Predicted dehydrogenase	R	General function prediction only
NIDLIJIB_00459	COG1082	440699	1.17e-50	26.316	YcjR	Sugar phosphate isomerase/epimerase	G	Carbohydrate transport and metabolism
NIDLIJIB_00460	COG1063	440683	2.05e-38	24.557	Tdh	Threonine dehydrogenase or related Zn-dependent dehydrogenase	E	Amino acid transport and metabolism
NIDLIJIB_00461	COG0395	440164	6.32e-87	40.143	UgpE	ABC-type glycerol-3-phosphate transport system, permease component	G	Carbohydrate transport and metabolism
NIDLIJIB_00462	COG1175	440788	1.43e-77	36.604	UgpA	ABC-type sugar transport system, permease component	G	Carbohydrate transport and metabolism
NIDLIJIB_00463	COG1653	441259	2.53e-60	27.515	UgpB	ABC-type glycerol-3-phosphate transport system, periplasmic component	G	Carbohydrate transport and metabolism
NIDLIJIB_00464	COG0366	440135	1.1e-43	23.46	AmyA	Glycosidase/amylase (phosphorylase)	G	Carbohydrate transport and metabolism
NIDLIJIB_00465	COG0607	440372	6.95e-23	42.308	PspE	Rhodanese-related sulfurtransferase	P	Inorganic ion transport and metabolism
NIDLIJIB_00467	COG1983	441586	7.25e-21	38.095	PspC	Phage shock protein PspC (stress-responsive transcriptional regulator)	K	Transcription
NIDLIJIB_00469	COG1842	441447	1.31e-53	42.396	PspA	Phage shock protein A involved in membrane remodeling, PspA/Vipp1/IM30 family	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00470	COG3829	443041	2.9e-118	44.343	RocR	RocR-type transcriptional regulator, contains PAS, AAA-type ATPase, and DNA-binding Fis domains	K	Transcription
NIDLIJIB_00471	COG0160	439930	0.0	50.233	ArgD	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase/amino acid racemase	E	Amino acid transport and metabolism
NIDLIJIB_00472	COG0665	440429	3.2e-96	33.596	DadA	Glycine/D-amino acid oxidase (deaminating)	E	Amino acid transport and metabolism
NIDLIJIB_00473	COG1012	440636	0.0	48.333	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	I	Lipid transport and metabolism
NIDLIJIB_00474	COG3837	443048	5.97e-21	28.302		Uncharacterized conserved protein, cupin superfamily	S	Function unknown
NIDLIJIB_00475	COG2071	441674	2.74e-97	43.096	PuuD	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain	E	Amino acid transport and metabolism
NIDLIJIB_00476	COG0174	439944	1.39e-163	36.564	GlnA	Glutamine synthetase	E	Amino acid transport and metabolism
NIDLIJIB_00477	COG0531	440297	1.73e-86	27.455	PotE	Serine and glutamate transporter AimA/YbeC, amino acid:H+ symporter family	E	Amino acid transport and metabolism
NIDLIJIB_00480	COG0209	439979	0.0	34.827	NrdA	Ribonucleotide reductase alpha subunit	F	Nucleotide transport and metabolism
NIDLIJIB_00481	COG0208	439978	1.7e-142	35.393	NrdB	Ribonucleotide reductase beta subunit, ferritin-like domain	F	Nucleotide transport and metabolism
NIDLIJIB_00482	COG0633	440398	4.52e-18	29.885	Fdx	Ferredoxin	C	Energy production and conversion
NIDLIJIB_00483	COG3642	442859	2.89e-06	25.85	Bud32	tRNA A37 N6-threonylcarbamoyl transferase component Bud32	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00486	COG0584	440349	2.47e-68	28.528	UgpQ	Glycerophosphoryl diester phosphodiesterase	I	Lipid transport and metabolism
NIDLIJIB_00487	COG2271	441872	2.71e-71	27.251	UhpC	Sugar phosphate permease	G	Carbohydrate transport and metabolism
NIDLIJIB_00488	COG0578	440343	3.16e-84	32.475	GlpA	Glycerol-3-phosphate dehydrogenase	C	Energy production and conversion
NIDLIJIB_00489	COG3075	442309	0.0	52.01	GlpB	Anaerobic glycerol-3-phosphate dehydrogenase	E	Amino acid transport and metabolism
NIDLIJIB_00490	COG0247	440017	1.19e-95	31.281	GlpC	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF	C	Energy production and conversion
NIDLIJIB_00491	COG5464	444215	7.63e-96	36.634	RpnC	Recombination-promoting DNA endonuclease RpnC/YadD	L	Replication, recombination and repair
NIDLIJIB_00492	COG3836	443047	2.57e-49	56.863	HpcH	2-keto-3-deoxy-L-rhamnonate aldolase RhmA	G	Carbohydrate transport and metabolism
NIDLIJIB_00493	COG1058	440678	2.84e-101	44.8	CinA	ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA	L	Replication, recombination and repair
NIDLIJIB_00495	COG1051	440671	4.43e-19	25.0	YjhB	ADP-ribose pyrophosphatase YjhB, NUDIX family	F	Nucleotide transport and metabolism
NIDLIJIB_00496	COG2062	441665	1.82e-12	21.186	SixA	Phosphohistidine phosphatase SixA	T	Signal transduction mechanisms
NIDLIJIB_00497	COG0399	440168	2.14e-171	48.8	WecE	dTDP-4-amino-4,6-dideoxygalactose transaminase	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00498	COG0463	440231	8.76e-48	31.019	WcaA	Glycosyltransferase involved in cell wall bisynthesis	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00499	COG0223	439993	3.74e-121	37.54	Fmt	Methionyl-tRNA formyltransferase	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00500	COG0726	440490	2.59e-18	19.772	PgaB	Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family	G	Carbohydrate transport and metabolism
NIDLIJIB_00501	COG1807	441412	4.52e-52	27.671	ArnT	PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00502	COG2076	441679	2.78e-11	32.075	EmrE	Multidrug transporter EmrE and related cation transporters	V	Defense mechanisms
NIDLIJIB_00505	COG0318	440087	8.5e-93	30.625	MenE	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	I	Lipid transport and metabolism
NIDLIJIB_00506	COG1441	441050	0.0	73.832	MenC	O-succinylbenzoate synthase	H	Coenzyme transport and metabolism
NIDLIJIB_00507	COG0447	440216	0.0	62.143	MenB	1,4-Dihydroxy-2-naphthoyl-CoA synthase	H	Coenzyme transport and metabolism
NIDLIJIB_00508	COG0596	440361	9.66e-21	25.1	MenH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH/undecaprenyl monophosphate-sugar esterase UshA/YqjL	H	Coenzyme transport and metabolism
NIDLIJIB_00509	COG1165	440779	0.0	42.288	MenD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	H	Coenzyme transport and metabolism
NIDLIJIB_00510	COG1169	440783	1.9e-138	35.427	MenF	Isochorismate synthase EntC	H	Coenzyme transport and metabolism
NIDLIJIB_00511	COG4575	443632	2.13e-23	46.053	ElaB	Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00512	COG2153	441756	9.67e-55	41.912	ElaA	Predicted N-acyltransferase, GNAT family	R	General function prediction only
NIDLIJIB_00513	COG1234	440847	1.33e-107	41.83	ElaC	Ribonuclease BN, tRNA processing enzyme	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00516	COG2304	441879	1.21e-102	43.614	YfbK	Secreted protein containing bacterial Ig-like domain and vWFA domain	R	General function prediction only
NIDLIJIB_00517	COG2234	441835	1.68e-46	27.668	Iap	Zn-dependent amino- or carboxypeptidase, M28 family	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00519	COG1007	440631	1.27e-170	42.917	NuoN	NADH:ubiquinone oxidoreductase subunit 2 (chain N)	C	Energy production and conversion
NIDLIJIB_00520	COG1008	440632	0.0	50.8	NuoM	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	C	Energy production and conversion
NIDLIJIB_00521	COG1009	440633	0.0	44.553	NuoL	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Na+/H+ antiporter, MnhA subunit/Na+:bicarbonate transporter, MpsA subunit	C	Energy production and conversion
NIDLIJIB_00522	COG0713	440477	2.34e-37	46.465	NuoK	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)	C	Energy production and conversion
NIDLIJIB_00523	COG0839	440601	1.11e-48	36.42	NuoJ	NADH:ubiquinone oxidoreductase subunit 6 (chain J)	C	Energy production and conversion
NIDLIJIB_00524	COG1143	440758	1.1e-21	38.356	NuoI	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	C	Energy production and conversion
NIDLIJIB_00525	COG1005	440629	3.36e-160	52.711	NuoH	NADH:ubiquinone oxidoreductase subunit 1 (chain H)	C	Energy production and conversion
NIDLIJIB_00526	COG1034	440657	0.0	26.432	NuoG	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)	C	Energy production and conversion
NIDLIJIB_00527	COG1894	441498	0.0	53.461	NuoF	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)	C	Energy production and conversion
NIDLIJIB_00528	COG1905	441509	5.26e-79	44.805	NuoE	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)	C	Energy production and conversion
NIDLIJIB_00529	COG0649	440414	0.0	50.513	NuoD	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)	C	Energy production and conversion
NIDLIJIB_00530	COG0377	440146	8.71e-102	62.5	NuoB	NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase	C	Energy production and conversion
NIDLIJIB_00531	COG0838	440600	1.78e-47	45.299	NuoA	NADH:ubiquinone oxidoreductase subunit 3 (chain A)	C	Energy production and conversion
NIDLIJIB_00533	COG0583	440348	3.98e-37	30.579	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
NIDLIJIB_00534	COG0436	440205	8.22e-147	37.75	AspB	Aspartate/methionine/tyrosine aminotransferase	E	Amino acid transport and metabolism
NIDLIJIB_00535	COG1896	441500	4.03e-65	47.647	YfbR	5'-deoxynucleotidase YfbR and related HD superfamily hydrolases	F	Nucleotide transport and metabolism
NIDLIJIB_00536	COG0471	440239	1.3e-61	23.118	CitT	Di- and tricarboxylate antiporter	G	Carbohydrate transport and metabolism
NIDLIJIB_00537	COG0637	440402	3.65e-61	37.799	YcjU	Beta-phosphoglucomutase, HAD superfamily	G	Carbohydrate transport and metabolism
NIDLIJIB_00538	COG3013	442250	4.11e-94	66.071	YfbU	Uncharacterized conserved protein YfbU, UPF0304 family	S	Function unknown
NIDLIJIB_00539	COG3092	442326	4.87e-89	68.966	YfbV	Uncharacterized membrane protein YfbV, UPF0208 family	S	Function unknown
NIDLIJIB_00540	COG0282	440051	0.0	51.87	AckA	Acetate kinase	C	Energy production and conversion
NIDLIJIB_00541	COG0857	440618	0.0	42.698	PtaN	BioD-like N-terminal domain of phosphotransacetylase	R	General function prediction only
NIDLIJIB_00542	COG1288	440899	1.92e-179	43.496	YfcC	Predicted membrane transporter YfcC, affects glyoxylate shunt	R	General function prediction only
NIDLIJIB_00543	COG1443	441052	1.82e-43	34.568	Idi	Isopentenyldiphosphate isomerase	I	Lipid transport and metabolism
NIDLIJIB_00544	COG0622	440387	3.63e-53	37.209	YfcE	Mn2+-dependent phosphodiesterase, calcineurin family	R	General function prediction only
NIDLIJIB_00545	COG0625	440390	2.15e-35	32.692	GstA	Glutathione S-transferase or stringent starvation protein SspA	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00546	COG0625	440390	4e-71	40.952	GstA	Glutathione S-transferase or stringent starvation protein SspA	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00547	COG1539	441148	3.04e-34	28.696	FolB	Dihydroneopterin aldolase	H	Coenzyme transport and metabolism
NIDLIJIB_00548	COG1090	440707	8.83e-170	55.0	YfcH	NAD dependent epimerase/dehydratase family enzyme	R	General function prediction only
NIDLIJIB_00549	COG5464	444215	2.21e-95	36.275	RpnC	Recombination-promoting DNA endonuclease RpnC/YadD	L	Replication, recombination and repair
NIDLIJIB_00550	COG4598	443652	2.91e-171	68.846	HisP	ABC-type histidine transport system, ATPase component	E	Amino acid transport and metabolism
NIDLIJIB_00551	COG4160	443325	1.96e-108	51.915	ArtM	ABC-type arginine/histidine transport system, permease component	E	Amino acid transport and metabolism
NIDLIJIB_00552	COG4215	443361	1.52e-116	56.332	ArtQ	ABC-type arginine transport system, permease component	E	Amino acid transport and metabolism
NIDLIJIB_00553	COG0834	440596	1.01e-76	38.961	HisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	E	Amino acid transport and metabolism
NIDLIJIB_00554	COG0834	440596	1.25e-72	37.229	HisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	E	Amino acid transport and metabolism
NIDLIJIB_00555	COG0163	439933	8.06e-121	57.979	UbiX	Flavin prenyltransferase UbiX	H	Coenzyme transport and metabolism
NIDLIJIB_00556	COG0034	439804	0.0	51.775	PurF	Glutamine phosphoribosylpyrophosphate amidotransferase	F	Nucleotide transport and metabolism
NIDLIJIB_00557	COG1286	440897	4.71e-47	41.875	CvpA	Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation	F	Nucleotide transport and metabolism
NIDLIJIB_00558	COG3147	442381	9.51e-27	47.059	DedD	Cell division protein DedD (periplasmic protein involved in septation)	D	Cell cycle control, cell division, chromosome partitioning
NIDLIJIB_00559	COG0285	440054	4.28e-171	40.093	FolC	Folylpolyglutamate synthase/Dihydropteroate synthase	H	Coenzyme transport and metabolism
NIDLIJIB_00560	COG0777	440540	0.0	67.5	AccD	Acetyl-CoA carboxylase beta subunit	I	Lipid transport and metabolism
NIDLIJIB_00561	COG0586	440351	7.64e-58	40.642	DedA	Undecaprenyl phosphate translocase (flippase), DedA/Tvp38 family	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00562	COG0101	439871	2.53e-151	54.217	TruA	tRNA U38,U39,U40 pseudouridine synthase TruA	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00563	COG0136	439906	2.24e-155	45.373	Asd	Aspartate-semialdehyde dehydrogenase	E	Amino acid transport and metabolism
NIDLIJIB_00564	COG0111	439881	7.18e-70	34.579	SerA	Phosphoglycerate dehydrogenase or related dehydrogenase	H	Coenzyme transport and metabolism
NIDLIJIB_00566	COG2814	442063	1e-22	28.693	AraJ	Predicted arabinose efflux permease AraJ, MFS family	G	Carbohydrate transport and metabolism
NIDLIJIB_00567	COG0304	440073	0.0	44.66	FabB	3-oxoacyl-(acyl-carrier-protein) synthase	I	Lipid transport and metabolism
NIDLIJIB_00568	COG4121	443297	1.66e-136	58.594	MnmC	tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00570	COG3101	442335	2.32e-134	70.391	EpmC	Elongation factor P hydroxylase EpmC	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00571	COG0730	440494	1.98e-46	33.468	TauE	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family	P	Inorganic ion transport and metabolism
NIDLIJIB_00572	COG3770	442984	1.81e-153	48.263	MepA	Murein endopeptidase MepA (D-alanyl-D-alanine-endopeptidase)	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00573	COG0082	439852	0.0	58.904	AroC	Chorismate synthase	E	Amino acid transport and metabolism
NIDLIJIB_00574	COG2890	442135	3.92e-106	41.732	HemK	Methylase of polypeptide chain release factors	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00575	COG2840	442088	1.62e-66	40.678	SmrA	Stalled ribosome-rescuing mRNA endonuclease or DNA-nicking endonuclease, Smr domain	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00577	COG3539	442760	5.32e-27	34.884	FimA	Pilin (type 1 fimbrial protein)	N	Cell motility
NIDLIJIB_00578	COG3539	442760	1.13e-16	25.843	FimA	Pilin (type 1 fimbrial protein)	N	Cell motility
NIDLIJIB_00579	COG3539	442760	1.17e-12	26.19	FimA	Pilin (type 1 fimbrial protein)	N	Cell motility
NIDLIJIB_00580	COG3121	442355	9.82e-64	35.78	FimC	P pilus assembly protein, chaperone PapD	W	Extracellular structures
NIDLIJIB_00581	COG3188	442421	6.01e-100	31.436	FimD	Outer membrane usher protein FimD/PapC	N	Cell motility
NIDLIJIB_00585	COG0583	440348	1.08e-48	21.107	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
NIDLIJIB_00586	COG1171	440784	1.72e-132	44.606	IlvA	Threonine deaminase	E	Amino acid transport and metabolism
NIDLIJIB_00587	COG0814	440576	5.21e-118	36.073	SdaC	Amino acid permease	E	Amino acid transport and metabolism
NIDLIJIB_00588	COG0282	440051	0.0	50.508	AckA	Acetate kinase	C	Energy production and conversion
NIDLIJIB_00589	COG1882	441486	0.0	47.362	PflD	Pyruvate-formate lyase	C	Energy production and conversion
NIDLIJIB_00590	COG0251	440021	1.06e-54	47.244	RidA	Enamine deaminase RidA/Endoribonuclease Rid7C, YjgF/YER057c/UK114 family	V	Defense mechanisms
NIDLIJIB_00591	COG1760	441366	3.16e-149	55.714	SdaA	L-serine deaminase	E	Amino acid transport and metabolism
NIDLIJIB_00592	COG0814	440576	1.09e-100	28.199	SdaC	Amino acid permease	E	Amino acid transport and metabolism
NIDLIJIB_00593	COG3681	442897	0.0	54.884	CdsB	L-cysteine desulfidase YhaM	E	Amino acid transport and metabolism
NIDLIJIB_00595	COG1741	441347	5.83e-50	29.741	YhaK	Redox-sensitive bicupin YhaK, pirin superfamily	R	General function prediction only
NIDLIJIB_00596	COG0583	440348	1.68e-41	27.007	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
NIDLIJIB_00597	COG3152	442386	2.22e-45	47.009	YhaH	Uncharacterized membrane protein YhaH, DUF805 family	S	Function unknown
NIDLIJIB_00598	COG3152	442386	3.12e-50	47.863	YhaH	Uncharacterized membrane protein YhaH, DUF805 family	S	Function unknown
NIDLIJIB_00599	COG0435	440204	0.0	64.634	ECM4	Glutathionyl-hydroquinone reductase	C	Energy production and conversion
NIDLIJIB_00600	COG2259	441860	2.55e-31	36.567	DoxX	Uncharacterized membrane protein YphA, DoxX/SURF4 family	S	Function unknown
NIDLIJIB_00602	COG5393	444153	3.48e-31	46.565	YqjE	Uncharacterized membrane protein YqjE	S	Function unknown
NIDLIJIB_00603	COG4575	443632	3.85e-35	49.0	ElaB	Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00605	COG0322	440091	0.004	47.619	UvrC	Excinuclease UvrABC, nuclease subunit	L	Replication, recombination and repair
NIDLIJIB_00606	COG0586	440351	1.93e-44	37.662	DedA	Undecaprenyl phosphate translocase (flippase), DedA/Tvp38 family	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00607	COG2186	441789	2.79e-56	31.197	FadR	DNA-binding transcriptional regulator, FadR family	K	Transcription
NIDLIJIB_00608	COG3121	442355	4.61e-19	20.362	FimC	P pilus assembly protein, chaperone PapD	W	Extracellular structures
NIDLIJIB_00610	COG3188	442421	6.59e-13	22.573	FimD	Outer membrane usher protein FimD/PapC	N	Cell motility
NIDLIJIB_00612	COG2271	441872	4.75e-67	29.056	UhpC	Sugar phosphate permease	G	Carbohydrate transport and metabolism
NIDLIJIB_00613	COG1904	441508	0.0	60.87	UxaC	Glucuronate isomerase	G	Carbohydrate transport and metabolism
NIDLIJIB_00614	COG2721	442034	0.0	45.709	UxaA	Altronate dehydratase	G	Carbohydrate transport and metabolism
NIDLIJIB_00616	COG3633	442850	0.0	74.938	SstT	Na+/serine and Na+/threonine symporter SstT	E	Amino acid transport and metabolism
NIDLIJIB_00617	COG0861	440622	5.04e-69	41.841	TerC	Tellurite resistance membrane protein TerC	P	Inorganic ion transport and metabolism
NIDLIJIB_00618	COG0673	440437	1.33e-63	29.119	MviM	Predicted dehydrogenase	R	General function prediction only
NIDLIJIB_00619	COG2949	442192	3.23e-97	47.115	SanA	Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00620	COG1451	441060	2.95e-10	39.583	YgjP	UTP pyrophosphatase, metal-dependent hydrolase family	R	General function prediction only
NIDLIJIB_00621	COG2813	442062	2.9e-92	44.33	RsmC	16S rRNA G1207 or 23S rRNA G1835 methylase RsmC/RlmG	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00622	COG5499	444250	3.86e-43	43.939	HigA	Antitoxin component HigA of the HigAB toxin-antitoxin module, contains an N-terminal HTH domain	V	Defense mechanisms
NIDLIJIB_00623	COG1902	441506	1.14e-166	44.173	FadH	NADH:flavin reductase, Old Yellow Enzyme (OYE) family	C	Energy production and conversion
NIDLIJIB_00624	COG3408	442634	3.6e-43	21.315	GDB1	Glycogen debranching enzyme (alpha-1,6-glucosidase)	G	Carbohydrate transport and metabolism
NIDLIJIB_00626	COG0531	440297	4.83e-27	18.977	PotE	Serine and glutamate transporter AimA/YbeC, amino acid:H+ symporter family	E	Amino acid transport and metabolism
NIDLIJIB_00627	COG2731	442037	3.64e-13	26.923	NanQ	N-acetylneuraminate anomerase NanQ, YhcH/YjgK/YiaL family	G	Carbohydrate transport and metabolism
NIDLIJIB_00628	COG3250	442481	6.96e-168	35.058	LacZ	Beta-galactosidase/beta-glucuronidase	G	Carbohydrate transport and metabolism
NIDLIJIB_00629	COG1609	441217	2.41e-80	33.333	PurR	DNA-binding transcriptional regulator, LacI/PurR family	K	Transcription
NIDLIJIB_00630	COG0073	439843	1.66e-26	37.069	EMAP	tRNA-binding EMAP/Myf domain	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00631	COG4992	444016	1.16e-178	47.769	ArgD	Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase	E	Amino acid transport and metabolism
NIDLIJIB_00632	COG0840	440602	1.13e-78	29.781	Tar	Methyl-accepting chemotaxis protein (MCP)	T	Signal transduction mechanisms
NIDLIJIB_00633	COG1695	441301	1.63e-25	34.375	PadR	DNA-binding transcriptional regulator, PadR family	K	Transcription
NIDLIJIB_00634	COG2375	441942	2.06e-91	39.147	ViuB	NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains	P	Inorganic ion transport and metabolism
NIDLIJIB_00636	COG3663	442880	3.35e-59	39.506	Mug	G:T/U-mismatch repair DNA glycosylase	L	Replication, recombination and repair
NIDLIJIB_00637	COG0568	440334	1.33e-159	59.41	RpoD	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	K	Transcription
